kanji,kana,meaning,local_score,moji_seen_count,moji_wrong_count,moji_right_count,migration_priority
守る,まもる,遵守；保护,0,6,6,0,197.0
故障,こしょう,故障,0,6,6,0,197.0
きちんと,きちんと,好好地；整齐地；准确地；恰当地,0,6,6,0,196.0
フリーズ,ふりーず,冻结；死机；凝固,0,6,6,0,195.0
丁寧,ていねい,礼貌；细心周到,0,5,5,0,176.0
被る,かぶる,戴帽子,0,5,5,0,176.0
怒る,おこる,发怒；骂，训斥,0,5,5,0,175.0
注意,ちゅうい,注意，留神；提醒，警告,0,5,5,0,175.0
生きる,いきる,生存；生活,0,5,5,0,175.0
うっかり,うっかり,不注意，不留神；无意中，稀里糊涂，漫不经心、心不在焉；发呆，发愣，茫然,0,5,5,0,174.0
提出,ていしゅつ,提交，提出,0,5,5,0,174.0
詳しい,くわしい,详细；精通,0,5,5,0,174.0
気さく,きさく,坦率，直爽，爽快，明朗,0,5,5,0,173.0
相変わらず,あいかわらず,照旧，仍旧跟往常一样,0,5,5,0,173.0
階段,かいだん,楼梯，台阶,1.7,6,5,1,162.0
吸殻,すいがら,烟头,1.7,6,5,1,160.0
変わる,かわる,改变，变化,1.7,6,5,1,160.0
迎える,むかえる,迎接；迎来,1.7,6,5,1,160.0
コンクリート,こんくりーと,混凝土;水泥,1.7,6,5,1,159.0
サボる,さぼる,旷工，缺勤,1.7,6,5,1,159.0
文章,ぶんしょう,文章，作品,0,4,4,0,154.0
迷惑,めいわく,麻烦，为难,0,4,4,0,153.0
野球場,やきゅうじょう,棒球场,0,4,4,0,152.0
免許証,めんきょしょう,许可证，执照,0,4,4,0,151.0
履く,はく,穿鞋/裤子,2,5,4,1,137.0
カーテン,かーてん,窗帘；幕；帘子,2,5,4,1,136.0
答える,こたえる,回应；回答，解答,2,5,4,1,136.0
美しい,うつくしい,美丽的；美好的,2,5,4,1,136.0
親しい,したしい,亲近的，亲密的,2,5,4,1,136.0
間違える,まちがえる,弄错，搞错,2,5,4,1,136.0
到着,とうちゃく,到达,2,5,4,1,135.0
腕時計,うでどけい,手表，腕表,2,5,4,1,135.0
謝る,あやまる,道歉，谢罪,2,5,4,1,135.0
破る,やぶる,打破；破坏；违反；打败,2,5,4,1,134.0
就職,しゅうしょく,就职，就业，找到工作,0,3,3,0,132.0
警官,けいかん,警察,0,3,3,0,132.0
質問,しつもん,问题，提问,0,3,3,0,132.0
交換,こうかん,交换；交易,0,3,3,0,131.0
参加,さんか,参加,0,3,3,0,131.0
喧嘩,けんか,吵嘴，口角，吵闹，吵架；喧嚷，打架,0,3,3,0,131.0
場合,ばあい,场合，时候，情形,0,3,3,0,131.0
当たる,あたる,打中，命中；撞上；猜中；相当于,0,3,3,0,131.0
暫く,しばらく,暂时，片刻，且慢，不久，一会儿 虽不太长但亦非很短的时间；很久，许久 时间要经过得稍长一点的；暂且，姑且，暂时 不管将来如何，指是眼前时刻,0,3,3,0,131.0
機会,きかい,机会,0,3,3,0,131.0
気が付く,きがつく,意识到，注意到，发觉；细心周到，无微不至；恢复神志，意识苏醒,0,3,3,0,131.0
消しゴム,けしごむ,橡皮擦，橡皮能擦掉铅笔等书写痕迹的文具,0,3,3,0,131.0
用意,ようい,准备，预备,0,3,3,0,131.0
確り,しっかり,稳固，结实，牢固，牢靠确，明确基础或结构坚固，不易动摇或倒塌的状态；（身体）健壮，结实清醒，坚实头脑和肉体等健全，能充分发挥其功能；（性格）坚强，刚强，高明坚定，可靠人的性格、见识等踏实而无风险；用力地，好好地（动作、行为）扎实，稳健；坚固，牢实，靠紧紧靠在一起使之不分离；（经济）行情看涨，坚挺行情处于上升趋势,0,3,3,0,131.0
非常に,ひじょうに,非常（地）,0,3,3,0,131.0
勿体ない,もったいない,可惜的，浪费的，糟蹋掉的；过分（好）的，好得与身份不相符的；不胜感激；不胜惶恐,0,3,3,0,130.0
国際貿易,こくさいぼうえき,国际贸易,0,3,3,0,130.0
新居,しんきょ,新居，新住宅,0,3,3,0,130.0
旨く,うまく,顺利、很好、高明,0,3,3,0,130.0
滞在,たいざい,停留，逗留，旅居,0,3,3,0,130.0
表現,ひょうげん,表现；表达,0,3,3,0,130.0
計算,けいさん,计算；考虑，估计；〈数〉计算，运算,0,3,3,0,130.0
講座,こうざ,讲座大学所属系级单位，由教授及其下属的副教授、讲师、助教等组成；讲座大学里的专题讲解，或在一定时期内讲授专业知识的讲习班；讲座，讲义就某一领域成体系编辑的教材出版形式；讲座，讲席寺院里讲师的坐席,0,3,3,0,130.0
貯める,ためる,积累，储蓄,0,3,3,0,130.0
貯金,ちょきん,存款，储蓄,0,3,3,0,130.0
遠慮なく,えんりょなく,不客气,0,3,3,0,130.0
宇宙飛行士,うちゅうひこうし,宇航员,0,3,3,0,129.0
付ける,つける,加上，附加,2.5,4,3,1,115.0
灰皿,はいざら,烟灰碟，烟灰缸,2.5,4,3,1,115.0
出発,しゅっぱつ,出发,2.5,4,3,1,114.0
報告書,ほうこくしょ,报告书;汇报文件,2.5,4,3,1,113.0
特典,とくてん,特别优惠；额外赠品；特别福利,2.5,4,3,1,113.0
訳す,やくす,译，翻，翻译；解释,2.5,4,3,1,113.0
会う,あう,见面；偶遇,0,2,2,0,110.0
借りる,かりる,借入，借来,0,2,2,0,110.0
夕方,ゆうがた,傍晚,0,2,2,0,110.0
女性,じょせい,女性，女人,0,2,2,0,110.0
宿題,しゅくだい,作业,0,2,2,0,110.0
掃除,そうじ,扫除,0,2,2,0,110.0
教える,おしえる,教,0,2,2,0,110.0
書く,かく,写,0,2,2,0,110.0
歌舞伎,かぶき,歌舞伎,0,2,2,0,110.0
浴衣,ゆかた,夏季简便和服，浴衣,0,2,2,0,110.0
習う,ならう,学习，学会,0,2,2,0,110.0
貸す,かす,借出，贷给,0,2,2,0,110.0
辛い,からい,辣的；烈的,0,2,2,0,110.0
送る,おくる,发送，送,0,2,2,0,110.0
くれる,くれる,给（我）,0,2,2,0,109.0
太る,ふとる,胖，发福,0,2,2,0,109.0
届ける,とどける,送，送到；申报,0,2,2,0,109.0
昼休み,ひるやすみ,午休,0,2,2,0,109.0
殆ど,ほとんど,大部分，大致，大体；几乎，差一点,0,2,2,0,109.0
法律,ほうりつ,法律,0,2,2,0,109.0
貰う,もらう,领到，收受，得到；受到；承担接受；娶，收养；传上感染上；请求；拿下来；买,0,2,2,0,109.0
〜について,~について,关于……,0,2,2,0,108.0
かささぎ,かささぎ,鹊，喜鹊；鹭鸶,0,2,2,0,108.0
どういたしまして,どういたしまして,不客气,0,2,2,0,108.0
不動産屋,ふどうさんや,房地产经纪人，房产公司,0,2,2,0,108.0
午前中,ごぜんちゅう,上午,0,2,2,0,108.0
年上,としうえ,年长，岁数大（的人）,0,2,2,0,108.0
年寄り,としより,老人；老头儿；〈相撲〉相扑协会的董事,0,2,2,0,108.0
支社長,ししゃちょう,分公司经理；分公司总经理,0,2,2,0,108.0
紙飛行機,かみひこうき,纸飞机,0,2,2,0,108.0
速達,そくたつ,快信；快件；速寄,0,2,2,0,108.0
防ぐ,ふせぐ,防御，防守，防卫，防止；预防，防备,0,2,2,0,108.0
小麦粉,こむぎこ,面粉,0,2,2,0,107.0
標識,ひょうしき,标志，标记；标识,0,2,2,0,107.0
眺め,ながめ,眺望，瞭望；景色，风景，景致,0,2,2,0,107.0
豊作,ほうさく,丰收,0,2,2,0,107.0
閉まる,しまる,关闭，关着,4,5,3,2,97.0
プラスチック,ぷらすちっく,塑料；塑胶,4,5,3,2,96.0
開く,ひらく,开；开张,4,5,3,2,96.0
電源,でんげん,电源；电源,4,5,3,2,96.0
宅配便,たくはいびん,快递服务；宅急送,4,5,3,2,95.0
誠,まこと,真诚；真实；诚实,4,5,3,2,94.0
いっぱい,いっぱい,⓪（いっぱい）充满，很多；①一杯，一碗,0,1,1,0,88.0
お菓子,おかし,点心，糕点，糖果同「菓子」,0,1,1,0,88.0
かばん,かばん,（皮革或布等制作的）书包，提包,0,1,1,0,88.0
どうやって,どうやって,怎么（做）,0,1,1,0,88.0
やっと,やっと,终于,0,1,1,0,88.0
ギター,ぎたー,guitar吉他，六弦琴,0,1,1,0,88.0
シャツ,しゃつ,"（shirt）（西式）衬衫，衬衣，西装衬衫；汗衫,内衣",0,1,1,0,88.0
スカート,すかーと,"skirt裙子；（汽车、火车、电车前部排除障碍物的）铁板, 保险杠",0,1,1,0,88.0
セーター,せーたー,sweater毛衣，毛线上衣,0,1,1,0,88.0
ネクタイ,ねくたい,necktie 领带,0,1,1,0,88.0
バイク,ばいく,bike机动脚踏两用车，摩托车，机器脚踏车,0,1,1,0,88.0
ヨーロッパ,よーろっぱ,欧洲,0,1,1,0,88.0
一昨日,おととい,前天,0,1,1,0,88.0
丁度,ちょうど,整，正；正好，恰好,0,1,1,0,88.0
下,した,下面；里面；（年龄、地位、程度、能力等）低,0,1,1,0,88.0
下手,へた,不擅长，笨拙,0,1,1,0,88.0
不味い,まずい,不好吃；难吃；拙劣；笨拙；不高明，不好；丑，难看；不妙，不合适，不恰当,0,1,1,0,88.0
中華街,ちゅうかがい,唐人街;中华街,0,1,1,0,88.0
乗る,のる,乘坐,0,1,1,0,88.0
交差点,こうさてん,十字路口,0,1,1,0,88.0
今晩,こんばん,今晚，今夜,0,1,1,0,88.0
今朝,けさ,今天早上,0,1,1,0,88.0
今週,こんしゅう,这周,0,1,1,0,88.0
他,ほか,别处，别的地方，外部，外地；别的，另外，其他，其余；除了......以外；除了……以外……还；只有，只好，只能,0,1,1,0,88.0
仲,なか,交情；交谊；(人与人的)关系,0,1,1,0,88.0
伝える,つたえる,通知，传达；传授,0,1,1,0,88.0
低い,ひくい,矮的；（声音）小的；低的,0,1,1,0,88.0
体,からだ,身体；体格；健康,0,1,1,0,88.0
何方,どなた,哪位,0,1,1,0,88.0
作家,さっか,作家,0,1,1,0,88.0
働く,はたらく,工作，劳动,0,1,1,0,88.0
兄弟,きょうだい,兄弟姐妹,0,1,1,0,88.0
先ず,まず,先，首先最初，开头；大概，大致大体，差不多；姑且，暂且，不管怎样，总之,0,1,1,0,88.0
入り口,いりぐち,入口,0,1,1,0,88.0
入る,はいる,进入,0,1,1,0,88.0
冬,ふゆ,冬天，冬季,0,1,1,0,88.0
冷蔵庫,れいぞうこ,冰箱,0,1,1,0,88.0
出かける,でかける,出门，出发,0,1,1,0,88.0
出る,でる,出来，出去,0,1,1,0,88.0
出張,しゅっちょう,出差,0,1,1,0,88.0
出来る,できる,做好，做完；做出，建成；形成，出现；产，发生，有；出产；出色、有修养、有才能、成绩好；能够（做某事）,0,1,1,0,88.0
切る,きる,切，割；中断，关闭,0,1,1,0,88.0
午前,ごぜん,上午,0,1,1,0,88.0
卵,たまご,蛋，鸡蛋；未成熟者,0,1,1,0,88.0
原稿,げんこう,原稿，草稿,0,1,1,0,88.0
去年,きょねん,去年,0,1,1,0,88.0
吸う,すう,吸；吮吸；吸收,0,1,1,0,88.0
吹く,ふく,刮风；吹,0,1,1,0,88.0
呼ぶ,よぶ,呼唤；叫来；叫作；邀请,0,1,1,0,88.0
唐揚げ,からあげ,干炸（食品）把小鱼、鸡肉等什么也不蘸或裹面粉用油炸，亦指这样炸成的食品,0,1,1,0,88.0
国,くに,国家；家乡,0,1,1,0,88.0
地下鉄,ちかてつ,地铁,0,1,1,0,88.0
地図,ちず,地图,0,1,1,0,88.0
売り場,うりば,卖场，柜台,0,1,1,0,88.0
売店,ばいてん,小卖部，小卖店，售货亭,0,1,1,0,88.0
外,そと,外边，外面，外部,0,1,1,0,88.0
外出,がいしゅつ,出门，出外，外出,0,1,1,0,88.0
外国,がいこく,外国，国外,0,1,1,0,88.0
外国人,がいこくじん,外国人,0,1,1,0,88.0
大分,だいぶ,很，相当，很多，不少；很，很多，很久,0,1,1,0,88.0
大切,たいせつ,大切，重要,0,1,1,0,88.0
大勢,おおぜい,许多人，大批人,0,1,1,0,88.0
太い,ふとい,胖的；粗的,0,1,1,0,88.0
如何,いかが,（表示质疑）如何。；（表示邀请）怎么样。；如何。；（表示质疑）怎么样，如何,0,1,1,0,88.0
子供,こども,小孩；孩子,0,1,1,0,88.0
学生,がくせい,学生,0,1,1,0,88.0
定価,ていか,定价,0,1,1,0,88.0
家族,かぞく,家族,0,1,1,0,88.0
少ない,すくない,少的,0,1,1,0,88.0
左,ひだり,左，左边,0,1,1,0,88.0
市役所,しやくしょ,市政府，市政厅,0,1,1,0,88.0
席,せき,座位，席位,0,1,1,0,88.0
広告,こうこく,广告,0,1,1,0,88.0
座る,すわる,坐,0,1,1,0,88.0
庭,にわ,庭院，院子,0,1,1,0,88.0
待つ,まつ,等待,0,1,1,0,88.0
後ろ,うしろ,后面；背后,0,1,1,0,88.0
悪い,わるい,坏的，不好的,0,1,1,0,88.0
所,ところ,场所，地方,0,1,1,0,88.0
手紙,てがみ,书信,0,1,1,0,88.0
持つ,もつ,拿着，拥有,0,1,1,0,88.0
探す,さがす,寻找,0,1,1,0,88.0
教室,きょうしつ,教室；培训班,0,1,1,0,88.0
整理,せいり,整理，整顿；清理，裁减,0,1,1,0,88.0
新聞,しんぶん,新闻,0,1,1,0,88.0
旅行,りょこう,旅行,0,1,1,0,88.0
明るい,あかるい,明亮的；快活的,0,1,1,0,88.0
映画,えいが,电影,0,1,1,0,88.0
時々,ときどき,有时，偶尔,0,1,1,0,88.0
時計,とけい,钟，表,0,1,1,0,88.0
晩御飯,ばんごはん,晚饭,0,1,1,0,88.0
晴れ,はれ,晴天,0,1,1,0,88.0
暇,ひま,（做某事的）时间；闲空，余暇,0,1,1,0,88.0
暗い,くらい,黑的；发暗的；阴沉的,0,1,1,0,88.0
曇り,くもり,阴天；模糊不清,0,1,1,0,88.0
曲がる,まがる,弯曲；拐弯,0,1,1,0,88.0
書道,しょどう,书法，书道；入木道,0,1,1,0,88.0
本棚,ほんだな,书柜，书架,0,1,1,0,88.0
机,つくえ,桌子，书桌,0,1,1,0,88.0
来る,くる,来,0,1,1,0,88.0
果物,くだもの,水果,0,1,1,0,88.0
横断歩道,おうだんほどう,人行横道,0,1,1,0,88.0
歩く,あるく,走路,0,1,1,0,88.0
残業,ざんぎょう,加班,0,1,1,0,88.0
毎日,まいにち,每天,0,1,1,0,88.0
毎晩,まいばん,每晚,0,1,1,0,88.0
汚い,きたない,脏的；杂乱的；卑鄙的,0,1,1,0,88.0
