kanji,kana,meaning,pos,verb_type,importance,moji_word_id,moji_tags,source
箱,はこ,箱（子）；盒（子）；匣（子）；客车车厢；三弦（匣）,名,,5,198920369,N2#N5,moji
林,はやし,林，树林，树丛；林，林立；林(姓氏),名,,4,198920602,N2#N4#高考,moji
ハンカチ,はんかち,手帕。handkerchief「ハンカチーフ」的省略,名,,5,198920667,N5#高考,moji
売店,ばいてん,小卖部，小卖店，售货亭,名,,5,198995597,N2#N5#高考,moji
場所,ばしょ,地方场所空间位置现场所在地；席位座位；（相扑比赛的）地点和赛期,名,,4,198969751,N1#N2#N4#考研,moji
パソコン,ぱそこん,Personal Computer个人电脑，计算机,名,,4,198921494,N2#N4#考研,moji
パンク,ぱんく,爆胎；穿孔；崩溃；破产,名,,2,198921727,N1,moji
引く,ひく,涂，敷，涂上一层；拉，曳；牵；拖；继承（血统），遗传，随；引诱，吸引；（引きつける）招惹；引进（管、线），安装（自来水等）；架设（电线等）；查（字典）；引用（词句）；举（例）；减去，削减，扣除；拉长，拖长；拉（丝）；退，后退；落，减退；消失,自他动词·五段,godan,5,198932525,N2#N5#考研,moji
翡翠,ひすい,翡翠；翠玉；绿宝石,名,,3,1989115717,,moji
引っ越す,ひっこす,搬家；迁移,自动词·五段,godan,4,198932541,N2#N4,moji
人,ひと,……人，人类。；〔他人・世間〕别人，旁人，人家；人品，品质,名,,5,198921873,N5,moji
開く,ひらく,打开；开设；举行；召开,自他动词·五段,godan,4,198938425,N1#N2#N4#考研,moji
病院,びょういん,医院；病院,名,,5,198999193,N2#N5,moji
ピクニック,ぴくにっく,野餐；郊游,名,,2,198922352,N2,moji
ピザ,ぴざ,披萨；比萨,名,,3,198922369,N3,moji
フリーズ,ふりーず,冻结；死机；凝固,名,,2,198923212,N1,moji
ブローチ,ぶろーち,胸针；领针,名,,2,198923689,N2,moji
プラスチック,ぷらすちっく,塑料；塑胶,名,,3,198923810,N2#N3#考研#高考,moji
報告書,ほうこくしょ,报告书;汇报文件,名,,3,1989103555,高考,moji
ボタン,ぼたん,纽扣；按钮；牡丹,名,,5,198925163,N3#N5#高考,moji
まあ,まあ,暂且；还算；哎呀,副词,,3,19895001,N3,moji
誠,まこと,真诚；真实；诚实,名,,2,198975684,N1,moji
待合室,まちあいしつ,候诊室;等候室;接待室,名,,3,198981859,N2#N3,moji
間違える,まちがえる,弄错；搞错；犯错误,他动词·一段,ichidan,4,198941140,N1#N2#N4#高考,moji
守る,まもる,保护；遵守；维护,他动词·五段,godan,4,198927224,N1#N2#N3#N4#考研,moji
回す,まわす,转动；传递；派遣；绕行,他动词·五段,godan,3,198926203,N2#N3#高考,moji
迎える,むかえる,迎接；迎来；接待；面临,他动词·一段,ichidan,4,198948345,N1#N2#N4#考研,moji
眼鏡,めがね,眼镜,名,,5,198926739,N1#N5,moji
メートル,めーとる,米（长度单位）；公尺,名,,5,BrmYazF6V1,N5,moji
木曜日,もくようび,星期四,名,,5,1989107661,N2#N5,moji
森,もり,森林，树林；日本姓氏；神社的树林,名,,4,198971417,N2#N4,moji
破る,やぶる,打破；破坏；违反；打败,他动词·五段,godan,3,198994836,N2#N3#高考,moji
寄る,よる,靠近；顺便去；聚集；倾向于,自动词·五段,godan,4,19895464,N2#N4#高考,moji
ラジオ,らじお,广播，无线电，无线电收音机；收音机；与其他词组合，表放射，无线,名,,5,198927762,N1#N2#N5,moji
乱暴,らんぼう,粗暴；粗鲁；胡乱；莽撞,名·形动·サ变,suru,4,1989110791,N2#N3#N4,moji
両親,りょうしん,双亲，父母,名,,5,1989111936,N1#N2#N5#高考,moji
冷蔵庫,れいぞうこ,冰箱；冷库；冷藏室,名,,5,1989112703,N2#N5,moji+moji
魯迅,ろじん,鲁迅;中国现代文学家、思想家、革命家,名,,3,198929178,,moji
